Id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,1,22.986014760222417,27.383436162131858,6.407323448003534,4.296900780820179,4.490673196811876,3.424660180172707,6.5000793043229725,4.410188555326794,34.191365807457814,41.50410513876124,17.827130340114966,23.960538065866164,19.283087119007526,11.623473861605271,20.903409392011845,18.905106027438944,21.308147324200505,41.50410513876124,34.191365807457814,41.50410513876124
1,2,29.57700272232934,20.469077825057486,7.381665017378267,5.359012421245742,3.874272567954859,4.016012176944222,6.657986338456101,4.575168006655431,9.445202983394989,38.46664901389725,38.325515590575606,25.039691427774805,6.391184027146657,28.51365159260812,32.86315375385213,13.343839799094464,25.241815389474617,38.46664901389725,9.445202983394989,38.46664901389725
2,1,35.080228959521484,29.49874270916878,5.486379409123194,4.36726330539068,4.600076158046864,3.4669438788806124,6.465857460949867,3.952306564483003,26.110083188553887,24.267204662101616,23.615541063106058,19.16276279462654,31.726263601967663,19.70359770654523,19.441242161501005,20.352629269213566,15.118043318555667,24.267204662101616,26.110083188553887,24.267204662101616
3,2,28.471734709675566,24.29726751769397,5.692822051389957,4.256181416860912,3.132807874643246,4.633252491388764,6.086970697128959,3.3296178516556667,31.309560830507372,19.713241364117074,17.214131245169526,25.558403287837553,25.623638566513065,31.203335235080772,31.638881652286592,19.54882692269887,26.193466845558863,19.713241364117074,31.309560830507372,19.713241364117074
4,1,28.39754367461657,24.629952486484655,6.9505655061359715,5.095392256628444,3.7506858535965315,4.619159034440871,6.514364441987457,2.5726151238658854,37.734234927047,32.80243000000712,17.24548715631602,26.736001313800912,22.195433917346303,30.465523409776033,41.01872539579146,16.41101187412392,23.233604079954112,32.80243000000712,37.734234927047,32.80243000000712
5,2,28.12153777198331,24.367305726030914,5.9851063406395975,4.756464530215269,4.099127036282793,4.500714372494267,6.543336535792737,4.00612050743084,17.557450021228853,34.63302535992909,30.58738629588916,34.380503083567504,21.595319281341,12.398295619329485,13.304418087115664,19.760915172692204,22.241508076739418,34.63302535992909,17.557450021228853,34.63302535992909
6,0,33.534136274527675,19.444611047054398,5.439419828926644,4.2301105005928985,4.571987464432417,5.298884444560445,5.963515416508724,3.647540366603273,29.407746089160618,15.465238115147063,29.9040088370854,35.233434624050176,34.850899044961245,31.92068791673269,31.25488608485699,31.069208933311913,35.165399429342784,15.465238115147063,29.407746089160618,15.465238115147063
7,0,23.8359764914577,25.228740144149832,5.798278384719347,4.666331791142968,3.6319115948135567,3.491773132048873,5.9912977060297266,3.9334230274623927,32.8384658155857,20.99308390298885,12.813410148746707,26.78161307746674,19.125099299669927,33.00189974453378,34.23217810382509,16.764747474449383,29.48602824259863,20.99308390298885,32.8384658155857,20.99308390298885
8,1,25.46147779164049,17.913988307776144,4.1791516267430815,4.201115165683439,3.8912720397848144,4.331593329834019,6.482205320989359,3.6936236992360247,27.909875118330053,10.103146933848244,20.842617197744524,19.892885615732077,40.00150042898093,25.962288089413697,20.191751948661913,19.83143441227515,21.69678031465381,10.103146933848244,27.909875118330053,10.103146933848244
9,1,15.691678919676185,29.38525005530684,6.131512503045767,3.11922372297586,4.259204865240315,4.172628863217205,6.198930183656779,3.512794865379562,25.33085870977983,25.29451826636178,18.851632033609125,28.278959202574857,18.19587655601161,29.289754575882508,30.049244457676725,15.238635123895596,21.221109211866583,25.29451826636178,25.33085870977983,25.29451826636178
